10010110	10011010	00101001	11011101	
11001010	10010100	10100110	00001010	
11110101	10101001	00100111	00111101	
01000010	10111110	01010100	01011110	
00000101	00100101	11101011	00001011	
10101010	11010010	11100001	00101111	
10110010	10010011	11000011	11001011	
10000100	01101010	10110000	00100001	

01000011	00101101	01110110	10101101	
10011011	01000001	10100011	11111010	
01011000	01000100	00010101	10011110	
10101110	00010001	01110101	10111000	
01000101	00100110	01010111	00010000	
11100100	00011000	01110010	11011001	
00011101	10110001	11001111	11111001	
11010100	11111000	11111110	10001000	

00101010	11101001	11001001	01100010	
11110010	11100111	11100110	10010101	
10100010	10000010	00011100	10110011	
11101110	11100010	00110100	01100101	
10110111	01100111	11010001	01011011	
10000101	01001100	01000110	00111010	
00000110	01111001	01010101	00011110	
01101101	11110000	10100111	11100101	

10110110	11110100	11101000	00110001	
00110000	11000101	00111001	11011100	
10111011	00001100	00110110	10010000	
01100100	01111110	10010010	10111001	
10000000	00001111	11110011	01100001	
01001001	01011111	00011011	00010010	
00111111	00010100	10100100	11011110	
11011000	00110011	01001010	10111010	

